"Ps","Scanpath","Scanpath_complex","age","gender","alarm","fire","numeracy","baserate","baserate_avg","true_positive","true_positive_avg","false_alarm","false_alarm_avg","numerical_format","correctness","Wave","Correct_answer","Given_answer","Correct_answer_belief","Bias_GC","Bias_belief","Numeracy_cat"
"03111423d9d857bc","GFBGFBAABBABCBDDECHAABGFD","G:35,F:77,B:9463,G:64,F:551,B:214,A:965,A:1599,B:382,B:1316,A:933,B:316,C:1344,B:81,D:616,D:3514,E:663,C:2975,H:5106,A:1962,A:2248,B:11331,G:18,F:434,D:4230",66,"f",4,2,3.63,0.01,0.1,0.01,0.5,0.1,0.27,"frequency","incorrect","2",0.1711,0.1001,0.0011,-0.232815932061782,-2.19185732438288,"high"
"04c15a582b3827f6","ABCEDEFGECHADEBAABDCEDCABDCH","A:1366,B:986,C:1157,E:199,D:1319,E:787,F:647,G:7941,E:53,C:319,H:17977,A:573,D:838,E:1518,B:959,A:774,A:186,B:971,D:614,C:1785,E:319,D:2452,C:665,A:465,B:120,D:427,C:6650,H:9849",28,"m",3,2,4.13,0.1,0.1,1,0.5,1,0.27,"frequency","incorrect","2",0.1711,0.0501,0.1001,-0.533412283673855,-0.232815932061782,"high"
"05dd0a3d114e6e8b","ABCDBBEDEEFGHABBDEFGGEEDECFGGF","A:913,B:935,C:1027,D:1499,B:300,B:49,E:399,D:149,E:434,E:532,F:467,G:2664,H:7995,A:83,B:451,B:1050,D:1032,E:500,F:350,G:3881,G:651,E:484,E:1015,D:1149,E:83,C:6266,F:299,G:416,G:318,F:3498",32,"f",2,2,3.75,0.01,0,0.95,0,0.2,0,"probability","incorrect","1",0.0461,0.2001,0.0461,0.637546163246563,0,"high"
"07f8b759d84f12be","ACCCAAHHHB","A:149,C:82,C:998,C:1248,A:149,A:133,H:914,H:132,H:3428,B:2229",23,"m",3,2,2.75,0.1,0.1,0.15,0.5,0.01,0.27,"probability","incorrect","2",0.1711,0.4001,0.6251,0.368918541837897,0.562699489361703,"low"
"0853466f733ad74b","EABCFHFEDECA","E:315,A:829,B:1172,C:942,F:2781,H:8176,F:16,E:366,D:468,E:30,C:2147,A:4535",55,"f",3,2,4.25,0.01,0.1,0.04,0.5,0.1,0.27,"frequency","incorrect","2",0.1711,0.0501,0.0041,-0.533412283673855,-1.62046615282136,"high"
"09521e065ea03c04","BHABCEDEFGFEBBDCHABDEBC","B:1120,H:4944,A:1303,B:710,C:1131,E:382,D:789,E:797,F:518,G:1312,F:189,E:223,B:155,B:82,D:506,C:577,H:1696,A:172,B:278,D:643,E:1280,B:1441,C:2379",42,"f",3,2,3.75,0.25,0.1,0.9,0.5,0.1,0.27,"probability","incorrect","2",0.1711,0.1001,0.7501,-0.232815932061782,0.641869155921468,"high"
"0a0dfa6b8d9d1ad6","ADDDBBAAABDBBAABBDBBEACFGGCCGGCCCCGHGFCAABEBBDBBEBACFCGHHCCCFCCHCFCCABABBDCHBBDBAHCCFAAABDBBAHCCCGCCGFEDBA","A:4746,D:6245,D:748,D:1815,B:313,B:365,A:701,A:49,A:4097,B:8798,D:3149,B:33,B:332,A:1300,A:246,B:3399,B:148,D:1715,B:250,B:930,E:4628,A:1283,C:2545,F:2681,G:7143,G:933,C:881,C:148,G:1516,G:1382,C:49,C:486,C:345,C:383,G:6903,H:22536,G:48,F:33,C:432,A:3966,A:448,B:3631,E:6614,B:3767,B:1281,D:2016,B:586,B:828,E:4233,B:698,A:1149,C:4880,F:1200,C:617,G:3615,H:307,H:12789,C:517,C:281,C:1015,F:4132,C:50,C:531,H:6680,C:3849,F:3083,C:49,C:215,A:899,B:1481,A:3018,B:3364,B:716,D:5599,C:1347,H:24788,B:2709,B:964,D:6318,B:663,A:931,H:9216,C:916,C:231,F:4615,A:66,A:782,A:472,B:3024,D:5582,B:222,B:3441,A:1064,H:52764,C:200,C:245,C:149,G:2833,C:866,C:483,G:2965,F:615,E:983,D:1216,B:782,A:18551",62,"f",2,1,3.38,0.001,0,1,0,0.006,0,"frequency","incorrect","1",0.1431,1e-04,0.1431,-3.15563963375978,0,"high"
"0a38670feb5421ff","AAHDBB","A:83,A:3188,H:10529,D:723,B:67,B:2767",18,"f",3,2,3.88,0.3,0.1,0.9,0.5,0.4,0.27,"probability","incorrect","2",0.1711,0.1001,0.4911,-0.232815932061782,0.457919924590504,"high"
"0a66ebd8cb1e32f1","ABCDEFGHCBBDCHD","A:1747,B:899,C:2352,D:917,E:656,F:1217,G:2730,H:7338,C:352,B:763,B:63,D:611,C:1279,H:4490,D:4412",28,"f",3,2,3.5,0.15,0.1,0.05,0.5,0.95,0.27,"probability","incorrect","2",0.1711,0.5001,0.0091,0.465806845006567,-1.27420861722001,"high"
"0a6867a975bf7bd2","AAACFGGHHH","A:379,A:218,A:430,C:895,F:529,G:360,G:1934,H:522,H:1233,H:7835",33,"m",2,3,4.13,0.45,0,0.36,0,0.67,0,"probability","incorrect","1",0.3051,0.3801,0.3051,0.0954556619606967,0,"high"
"0ad25554d47dbb22","BGHDCH","B:5474,G:385,H:13563,D:605,C:2614,H:966",47,"f",3,1,3.88,0.03,0.1,0.98,0.5,0.02,0.27,"probability","incorrect","2",0.1711,0.5001,0.6021,0.465806845006567,0.546418617666048,"high"
"0c260369756656d5","BFGHCBBH","B:333,F:78,G:1895,H:9953,C:380,B:2381,B:1182,H:9683",35,"f",2,1,4.5,0.05,0,0.05,0,0.667,0,"frequency","incorrect","1",0.0041,0.5001,0.0041,2.08627299782793,0,"high"
"0d29067fda98ce02","EAABCEDEFGHHABHHHHHHBDCH","E:278,A:25,A:964,B:1797,C:7011,E:32,D:2504,E:1448,F:1306,G:1811,H:965,H:8948,A:249,B:5049,H:1022,H:774,H:748,H:349,H:350,H:1647,B:1465,D:6668,C:2026,H:19130",37,"m",3,2,4.13,0.2,0,0.9,0,0.6,0,"frequency","incorrect","1",0.2731,0.1801,0.2731,-0.1808079873202,0,"high"
"0d393ce2ce07d5e5","AABBDEFGHABDBHCCFEFGFGHHHHCBEFEDECC","A:40,A:1200,B:1196,B:62,D:980,E:1491,F:936,G:2850,H:10520,A:181,B:1999,D:584,B:1198,H:4662,C:48,C:117,F:1386,E:614,F:782,G:1514,F:1699,G:1450,H:121192,H:7129,H:29299,H:2996,C:301,B:650,E:2505,F:1764,E:292,D:3152,E:180,C:106,C:3837",41,"m",3,4,4.63,0.65,0,0.8,0,0.75,0,"probability","incorrect","1",0.6651,0.8001,0.6651,0.080257322575388,0,"high"
"0df316ed6c4362c5","EBHHEABCGDEFGABCCABBDEDEACFH","E:67,B:4421,H:1590,H:1713,E:497,A:932,B:848,C:1814,G:17607,D:596,E:852,F:629,G:680,A:98,B:563,C:851,C:697,A:279,B:1429,B:115,D:236,E:480,D:179,E:300,A:347,C:35,F:1664,H:31620",55,"f",3,2,3.75,0.01,0,0.88,0,0.27,0,"frequency","incorrect","1",0.0321,0.5001,0.0321,1.1925518221428,0,"high"
"0ec3e3ecfa1bb6d9","AAABCFGFEDEDEHABD","A:592,A:534,A:48,B:1028,C:1622,F:663,G:837,F:85,E:1927,D:1689,E:154,D:1278,E:2250,H:3650,A:36,B:573,D:3147",26,"f",4,2,4,0.1,0.1,0.7,0.5,0.7,0.27,"probability","incorrect","2",0.1711,0.5001,0.1001,0.465806845006567,-0.232815932061782,"high"
"0eda368677f8d0f4","DCHHABEBACHDEFEFGFCHFED","D:3259,C:511,H:8449,H:3657,A:482,B:1015,E:2148,B:148,A:550,C:2966,H:1815,D:832,E:449,F:3149,E:883,F:82,G:1197,F:1433,C:1849,H:24247,F:597,E:82,D:3054",27,"f",3,2,5.25,0.1,0.1,1,0.5,0.4,0.27,"probability","incorrect","2",0.1711,0.1401,0.2171,-0.0868118742553257,0.10340981391332,"high"
"0fbe727969b55d66","AHBHHABDFGFEDBHBDEFGFCDBHCDB","A:2506,H:8926,B:1759,H:10964,H:5818,A:1343,B:923,D:2687,F:1075,G:965,F:330,E:573,D:2279,B:2429,H:7399,B:1871,D:819,E:1668,F:1328,G:1876,F:1691,C:2122,D:1494,B:1266,H:5244,C:273,D:1150,B:8309",43,"m",2,2,3.88,0.27,0.1,0.27,0.5,0.27,0.27,"probability","incorrect","2",0.1711,0.1001,0.2701,-0.232815932061782,0.198274574646351,"high"
"10143c1f16c9ff20","DGCABCDEDEFGHBDC","D:13667,G:398,C:233,A:1212,B:1248,C:1199,D:1214,E:2309,D:515,E:716,F:993,G:5009,H:10201,B:582,D:899,C:3496",57,"f",2,1,3.13,0.15,0.1,0.15,0.5,0.35,0.27,"probability","incorrect","2",0.1711,0.5001,0.0701,0.465806845006567,-0.387531991574442,"high"
"10270ce3ae7758dd","AAHCHABDBCBDCHHABDBEDEFCGFCBDBDBDCHGEDEFGEDBDECBBBDBB","A:263,A:2285,H:2714,C:2114,H:4033,A:716,B:999,D:1016,B:716,C:315,B:683,D:633,C:334,H:1148,H:9303,A:384,B:482,D:1200,B:467,E:481,D:133,E:52,F:315,C:532,G:714,F:233,C:367,B:558,D:1039,B:534,D:1367,B:716,D:232,C:851,H:3750,G:1600,E:282,D:434,E:699,F:699,G:11519,E:116,D:1217,B:398,D:349,E:1300,C:449,B:338,B:759,B:185,D:1148,B:483,B:883",20,"f",1,1,3.63,0.05,0.1,0.8,0.5,0.2,0.27,"probability","incorrect","2",0.1711,0.0501,0.1741,-0.533412283673855,0.00754876157623088,"high"
"1050642786bc8c4f","DBEFDACBCBDECFGFGDEDEFGBCHD","D:4308,B:2448,E:2435,F:2102,D:1823,A:3334,C:2072,B:1943,C:12275,B:1412,D:1076,E:3628,C:3380,F:1425,G:1658,F:837,G:1327,D:1174,E:1327,D:2618,E:1305,F:900,G:6176,B:2405,C:5322,H:12949,D:7747",34,"f",2,2,3.63,0.05,0,0.75,0,0.9,0,"probability","incorrect","1",0.0421,0.7501,0.0421,1.2508370696269,0,"high"
"111e3c22e5ba752a","DEFGACHH","D:1762,E:1401,F:3172,G:2056,A:1304,C:3364,H:9318,H:7028",27,"m",2,2,2.25,0.3,0,0.05,0,0.3,0,"probability","incorrect","1",0.0671,0.5001,0.0671,0.872334334378676,0,"low"
"122201f306f0f66b","HHHAABDBHHABDEFGFGHHHAEDBDBAAHH","H:7767,H:281,H:13825,A:6160,A:82,B:1880,D:797,B:1547,H:6161,H:2630,A:435,B:1877,D:950,E:963,F:1798,G:2096,F:916,G:5562,H:2364,H:531,H:12709,A:100,E:147,D:182,B:699,D:1563,B:934,A:400,A:3044,H:4795,H:8377",47,"f",5,3,3.13,0.01,0,0.8,0,0.2,0,"frequency","incorrect","1",0.0391,0.0101,0.0391,-0.587855383613224,0,"high"
"12f3cecad3d75731","AABCCDDEHAABCDEFGCABAHAEDEEBDD","A:644,A:53,B:429,C:445,C:1073,D:237,D:433,E:3822,H:7623,A:720,A:36,B:898,C:788,D:574,E:501,F:443,G:279,C:580,A:297,B:422,A:1643,H:9288,A:308,E:253,D:598,E:247,E:599,B:826,D:304,D:9004",25,"f",3,2,3.5,0.1,0.1,0.2,0.5,0.8,0.27,"frequency","incorrect","2",0.1711,0.0501,0.0271,-0.533412283673855,-0.800280718666695,"high"
